Driver_Age,Increase_Percentage,Total_Premium,Renewal_Indicator
52,3.88,1121.15,0
42,1.09,660.57,1
54,0.75,2402.38,1
67,0.99,300.0,1
41,8.74,468.23,1
41,0.53,771.39,1
68,4.11,1048.95,1
56,13.99,2796.74,1
37,3.49,442.16,1
53,14.41,1412.4,1
38,13.68,2186.85,0
38,2.82,2054.63,1
48,13.05,2797.6,1
18,13.77,1445.71,0
19,5.07,1020.23,1
36,2.36,4060.07,1
29,7.37,987.05,1
49,25.43,873.79,1
31,10.21,819.56,1
23,1.9,793.21,1
66,11.48,4705.98,0
41,5.57,5000.0,1
46,8.95,3039.13,1
23,13.24,2470.53,1
36,7.23,875.27,1
46,16.82,1180.85,0
27,12.81,381.99,1
50,9.55,1421.42,1
35,1.63,518.56,1
40,18.08,1948.18,1
35,27.47,934.41,1
72,1.47,2070.65,1
44,6.7,805.03,1
29,3.0,315.0,0
57,14.05,693.12,1
26,12.79,2203.25,1
48,1.52,2307.57,1
18,20.96,2143.12,0
25,2.0,1929.38,1
47,15.96,1739.67,0
56,6.11,2680.6,1
47,3.98,300.0,1
43,1.72,4561.05,1
40,1.83,1390.73,1
22,10.84,2694.54,1
34,7.99,1630.62,1
38,1.3,918.78,1
60,1.2,1307.68,1
50,0.75,657.96,1
18,13.62,762.06,0
49,12.44,2385.26,1
39,0.6,1958.51,1
34,8.22,300.0,1
54,0.88,789.15,1
60,23.41,1385.45,0
58,23.76,1637.56,1
32,11.98,5000.0,1
40,26.06,1918.74,0
49,16.68,300.0,0
59,17.63,1703.69,1
37,8.43,531.73,1
42,3.65,1438.12,0
28,2.46,5000.0,1
27,3.96,1121.91,1
57,9.9,3134.91,1
65,1.9,1689.25,1
43,2.99,4419.46,1
60,6.31,2502.09,1
50,2.65,3418.13,1
35,8.88,2183.93,1
50,25.66,1109.35,1
68,13.79,4079.34,1
44,10.98,2010.31,1
68,8.74,1169.93,0
18,6.69,919.04,1
57,2.06,2062.1,1
46,22.51,3616.19,1
40,2.86,2320.4,1
46,0.96,1243.8,1
18,13.86,2257.32,1
41,1.93,2922.32,0
50,4.65,364.73,1
67,0.29,537.1,1
37,1.47,2735.03,1
32,1.9,515.95,1
37,0.56,1436.16,1
58,10.69,1820.43,1
49,18.14,704.85,0
37,4.67,1482.14,1
52,20.76,1840.4,1
46,2.4,3726.05,0
59,3.94,3466.61,1
34,1.63,2055.76,0
40,9.69,1021.69,1
39,5.45,3516.74,1
23,9.5,3598.64,1
49,14.34,902.5,1
48,7.89,1926.12,1
45,9.88,1171.22,1
41,27.37,2107.86,0
23,3.55,846.16,1
38,4.45,2899.86,1
39,12.65,2117.64,0
32,9.45,847.76,1
42,1.97,2728.01,1
51,4.72,1014.79,1
73,6.31,300.0,1
47,5.44,692.88,1
48,1.96,3121.72,0
43,25.83,4764.88,0
18,14.37,4842.73,1
44,6.57,1067.24,1
45,11.4,1434.98,1
80,22.76,1190.09,0
42,1.46,1647.7,1
49,2.88,496.95,1
44,7.82,1091.79,1
27,16.05,1930.98,1
62,0.37,3132.53,1
56,41.36,2055.34,1
56,6.07,1384.88,1
31,4.45,709.12,1
66,3.46,3260.95,1
23,1.92,431.94,1
53,15.68,528.53,1
77,31.1,2531.98,1
30,5.34,2780.8,1
36,30.45,300.0,1
46,17.36,1394.27,1
37,6.56,300.0,1
21,11.21,1461.46,1
46,5.71,1232.39,0
29,8.18,4110.5,0
52,0.6,2277.03,1
31,11.92,2330.09,1
68,0.54,3668.79,1
33,16.99,3760.89,1
40,17.43,1848.26,1
57,2.71,990.41,1
26,3.91,3016.18,1
48,6.56,2914.28,0
64,9.08,2514.5,0
20,3.39,1842.29,1
47,8.98,1450.35,1
48,3.54,3768.35,1
56,0.57,1229.25,1
26,0.03,952.19,1
25,1.07,1380.0,1
52,15.71,829.32,1
49,32.55,2923.45,1
48,5.57,1843.65,0
50,7.19,300.0,0
34,1.59,2283.68,1
48,8.01,1416.58,1
49,1.56,1684.35,1
34,9.45,2013.12,1
72,27.07,1113.87,1
52,2.18,943.68,1
27,14.46,2520.78,1
54,0.24,591.38,1
30,4.71,748.92,1
56,1.17,894.68,1
62,4.35,3227.89,1
32,1.91,3869.31,1
59,4.67,887.77,1
51,5.4,761.52,1
57,3.58,1827.85,1
73,10.69,1415.02,0
41,25.11,2960.47,1
33,5.12,2381.42,1
31,2.14,5000.0,1
32,3.16,792.7,1
43,19.24,2929.61,1
50,8.48,1231.92,1
49,6.07,721.27,1
57,1.62,1215.26,0
45,5.97,1319.19,1
66,3.26,3636.06,1
41,28.68,402.92,0
80,21.55,910.25,1
54,0.88,1764.95,1
32,7.27,679.51,1
28,2.55,4704.12,1
52,5.29,5000.0,1
41,20.94,1661.18,0
55,7.5,2526.68,1
52,4.07,4205.88,1
43,2.33,1491.01,1
32,16.11,2422.42,1
22,9.8,605.58,1
38,6.31,300.0,0
57,2.45,3170.35,1
48,4.07,1563.14,1
26,32.15,5000.0,0
47,7.34,1034.67,0
50,5.12,559.55,1
31,7.37,2958.84,1
47,15.1,4823.43,1
45,4.16,611.66,1
27,1.97,784.12,1
50,8.79,4097.49,1
53,10.94,5000.0,1
61,12.47,2436.75,1
60,21.37,960.05,1
24,4.64,3856.87,1
30,0.78,1339.6,1
52,31.78,985.67,1
52,5.71,1109.53,1
52,9.76,2697.91,1
80,10.98,1730.31,1
53,7.91,2339.45,0
62,2.3,3016.92,1
59,14.07,1395.73,1
54,16.28,3285.42,1
40,8.05,1682.71,1
56,6.71,1123.19,1
33,1.21,447.5,1
41,0.88,1349.84,1
37,4.15,4385.05,0
46,3.72,2910.89,0
79,30.72,2328.64,1
18,15.31,661.71,0
55,10.79,1093.4,0
20,7.29,2635.95,1
37,1.83,3105.46,1
61,38.38,2957.38,0
45,4.7,2014.98,1
28,1.13,872.96,1
34,6.81,3110.58,1
55,20.71,1086.86,1
34,21.83,3140.09,0
48,0.11,1352.06,1
45,21.74,4923.45,0
35,3.17,1242.22,1
77,0.4,1223.19,1
54,18.82,1575.02,1
18,19.94,884.25,1
47,9.07,752.67,1
35,8.54,858.63,1
57,16.77,3998.1,1
33,15.43,795.74,0
43,22.08,1232.34,0
52,8.05,5000.0,1
57,34.31,3206.08,1
26,50.0,3167.91,0
39,1.24,5000.0,1
37,18.94,1541.17,0
35,6.93,300.0,1
71,4.9,2968.3,1
51,9.5,1415.94,1
26,0.58,5000.0,1
58,7.06,300.0,1
76,20.47,753.02,1
60,2.4,1053.11,1
22,5.56,1564.28,1
37,28.05,512.08,1
64,5.6,2171.64,1
34,4.44,1005.54,1
51,5.81,3353.08,0
56,7.33,4183.96,1
31,10.0,1290.97,1
44,16.13,2433.44,1
18,6.02,1672.4,0
29,17.01,1578.89,1
41,7.63,473.77,1
26,4.13,1513.14,1
69,10.73,3124.04,1
23,12.65,2212.65,0
38,8.17,770.61,1
46,0.58,477.84,1
66,1.86,1471.87,1
23,3.36,900.84,0
62,3.32,991.75,1
45,11.19,914.1,1
30,0.19,1689.55,1
51,14.09,2555.34,1
47,3.08,871.94,1
35,3.71,839.47,1
46,7.51,559.11,1
39,2.43,1903.72,0
46,21.58,3071.69,1
54,0.89,1530.38,1
68,5.88,2564.18,1
26,18.93,3667.81,1
76,9.57,1996.44,0
18,3.46,787.75,1
42,5.46,713.0,1
53,12.27,829.8,1
49,36.22,5000.0,0
35,22.36,5000.0,1
41,4.19,1250.47,1
37,50.0,3544.26,0
36,0.04,3984.34,1
57,0.28,484.8,1
50,17.36,5000.0,1
34,2.22,1374.13,1
58,0.63,1320.74,1
49,2.71,580.37,0
57,5.55,5000.0,1
54,13.11,1762.43,0
32,9.79,4994.59,1
36,2.71,3818.82,1
56,7.0,1268.64,1
54,26.07,1806.15,0
44,16.87,976.07,0
46,3.9,1077.07,0
64,40.32,2304.28,0
36,12.33,2849.71,0
53,0.64,300.0,1
41,0.36,300.0,1
41,1.84,1101.92,1
61,13.01,2065.11,1
57,2.03,4029.79,1
57,7.16,1742.17,0
64,0.98,1368.2,1
45,25.37,2532.46,1
55,4.22,776.21,1
40,23.87,1775.58,0
49,28.98,1504.61,1
43,0.06,1879.85,1
46,6.24,3691.33,1
53,0.25,334.4,1
32,23.94,1570.4,1
76,7.31,2841.72,1
29,0.78,2412.08,1
26,1.17,368.93,0
62,4.84,300.0,1
56,28.17,2699.08,0
54,11.81,351.43,1
54,20.22,1800.41,1
44,4.56,3526.31,0
31,0.44,451.9,1
46,36.62,5000.0,1
34,0.17,2635.84,1
59,29.5,5000.0,1
42,4.6,1132.94,1
32,0.1,4154.53,0
40,11.68,1237.28,1
51,39.39,1718.18,1
36,33.7,958.33,1
32,1.75,1656.92,1
48,2.0,3205.58,1
48,8.34,5000.0,1
37,10.14,800.08,1
37,13.45,1920.07,1
48,2.0,1063.79,0
23,31.94,1995.81,0
23,10.18,3536.0,1
34,18.78,1140.36,1
41,7.77,2334.53,1
49,5.35,756.55,1
67,37.8,3737.16,0
57,8.73,2914.77,0
42,20.16,877.5,1
44,30.64,859.02,1
29,11.25,4316.27,1
44,7.96,5000.0,1
40,0.04,911.08,1
49,0.41,3221.1,1
32,2.24,1278.27,0
52,2.06,4321.68,1
67,2.94,1331.69,1
43,3.64,2753.53,1
51,4.46,1875.62,0
55,5.46,300.0,1
38,1.04,807.32,1
48,0.43,2717.63,1
45,11.21,2490.13,1
46,7.71,2064.24,1
33,5.87,5000.0,0
45,10.06,3069.0,1
52,17.58,2807.82,1
66,5.58,300.0,1
59,10.25,3177.06,1
77,30.7,391.69,0
33,18.3,1659.46,1
